,FoodName,GI,Serve,CarbPerServe,GL,URL
1533,"Resource™ thickened orange juice, nectar consistency (Novartis, New Zealand)",54,237,36,19,foodSearch.php?num=1622&ak=detail
1534,"Sustagen™, Dutch Chocolate (Mead Johnson, Bristol Myers Squibb, Rydalmere, Australia)",31,250,41,13,foodSearch.php?num=1623&ak=detail
1535,"Sustagen™ Hospital with extra fiber, drink made from powdered mix (Mead Johnson, Australia)",33,250,44,15,foodSearch.php?num=1624&ak=detail
1536,"Sustagen™ Instant Pudding, vanilla, made from powdered mix (Mead Johnson, Australia) ",27,250,47,13,foodSearch.php?num=1625&ak=detail
1537,Tapion™ nutritonal supplement (Abbott Nutrition International - Japan),27,250,26,7,foodSearch.php?num=1626&ak=detail
1538,"TwoCal HN™, high nitrogen nutritional supplement, vanilla flavor (Abbott Nutrition International)",55,237,49,27,foodSearch.php?num=1627&ak=detail
1539,"Ultracal™ with fiber, nutritional supplement  (Mead Johnson, Evansville, IN, USA)",40,237,29,12,foodSearch.php?num=1628&ak=detail
1540,"Cashew nuts, salted (Coles Supermarkets, Australia)",22,50,13,3,foodSearch.php?num=1629&ak=detail
1541,Cashew nuts ,25,50,12,3,foodSearch.php?num=1630&ak=detail
1542,"Cashew nuts, organic, roasted and salted ",25,50,12,3,foodSearch.php?num=1631&ak=detail
1543,Cashew nut halves,27,50,10,3,foodSearch.php?num=1632&ak=detail
1544,"Cashew nuts, roasted and salted",27,50,10,3,foodSearch.php?num=1633&ak=detail
1545,Mixed nuts and raisins,21,50,16,3,foodSearch.php?num=1634&ak=detail
1546,"Mixed nuts, roasted and salted",24,50,17,4,foodSearch.php?num=1635&ak=detail
1547,"Peanuts, crushed ",7,50,4,0,foodSearch.php?num=1636&ak=detail
1548,Buckwheat noodles ,59,180,42,25,foodSearch.php?num=1637&ak=detail
1549,"Buckwheat noodles, instant",53,180,42,22,foodSearch.php?num=1638&ak=detail
1550,"Fettucine, egg ",32,180,46,15,foodSearch.php?num=1639&ak=detail
1551,"Fettucine, egg (Mother Earth Fine Foods, New Zealand)",47,180,46,22,foodSearch.php?num=1640&ak=detail
1552,"Gluten-free pasta, maize starch, boiled 8 min ",54,180,42,23,foodSearch.php?num=195&ak=detail
1553,"Gluten-free pasta, maize starch, boiled 8 min ",54,180,42,23,foodSearch.php?num=1641&ak=detail
1554,"Gnocchi, type not specified (Latina, Pillsbury Australia Ltd, Mt. Waverley, Australia)",68,180,48,33,foodSearch.php?num=1642&ak=detail
1555,"Instant 'two-minute' noodles, Maggi® (Nestlé, Australia) (1995)",46,180,23,11,foodSearch.php?num=1643&ak=detail
1556,"Instant 'two-minute' noodles, Maggi® (Nestlé, Auckland, New Zealand)",48,180,26,12,foodSearch.php?num=1644&ak=detail
1557,"Instant 'two-minute' noodles, Maggi®, all flavors (Nestlé Australia) (2005)",52,180,25,13,foodSearch.php?num=1645&ak=detail
1558,"Instant noodles, all flavors (Woolworths Limited, Australia)",52,180,22,11,foodSearch.php?num=1646&ak=detail
1559,"Linguine, Thick, durum wheat, white, fresh ",43,180,48,21,foodSearch.php?num=1647&ak=detail
1560,"Linguine, Thick, fresh, durum wheat flour, 0.6% w/w monoglycerides, boiled 8 min ",48,180,48,23,foodSearch.php?num=1648&ak=detail
1561,"Linguine, Thin, durum wheat",49,180,48,23,foodSearch.php?num=1649&ak=detail
1562,"Linguine, Thin, fresh, durum wheat flour, 0.6% w/w monoglycerides, boiled 3 min",61,180,48,29,foodSearch.php?num=1650&ak=detail
1563,"Linguine, Thin, fresh, durum wheat with 39% w/w egg",45,180,41,18,foodSearch.php?num=1651&ak=detail
1564,"Linguine, Thin, fresh, with 0.6% w/w monoglycerides and 30% w/w egg, boiled 3 min",53,180,41,22,foodSearch.php?num=1652&ak=detail
1565,"Mung bean noodles (Longkou beanthread),  dried, boiled (Yantai cereals, China)",39,180,45,18,foodSearch.php?num=1653&ak=detail
1566,"Ravioli, durum wheat flour, meat filled, boiled",39,180,38,15,foodSearch.php?num=1654&ak=detail
1567,"Rice noodles, dried, boiled (Thai World, Bangkok, Thailand)",61,180,39,23,foodSearch.php?num=1655&ak=detail
1568,"Rice noodles, freshly made, boiled (Sydney, NSW, Australia)",40,180,39,15,foodSearch.php?num=1656&ak=detail
1569,"Rice noodles made from IR42 (high amylose) rice flour, boiled for 22 min",41,180,43,18,foodSearch.php?num=1657&ak=detail
1570,"Rice pasta, gluten-free (Freedom Foods,  Australia)",51,180,47,24,foodSearch.php?num=1658&ak=detail
1571,"Rice pasta, brown, boiled 16 min (Rice Grower's Co-op, Australia)",92,180,38,35,foodSearch.php?num=1659&ak=detail
1572,"Rice and maize pasta, gluten-free, Ris'O'Mais (Orgran Foods,  Australia)",76,180,49,37,foodSearch.php?num=1660&ak=detail
1573,"Spaghetti, gluten-free, rice and Hi-Maize (high-amlyose) flour (Freedom Foods, Australia)",51,180,49,25,foodSearch.php?num=376&ak=detail
1574,"Spaghetti, gluten-free, rice and Hi-Maize (high-amlyose) flour (Freedom Foods, Australia)",51,180,49,25,foodSearch.php?num=1661&ak=detail
1575,"Spaghetti, gluten-free, rice and split pea,  canned in tomato sauce ",68,220,27,19,foodSearch.php?num=1662&ak=detail
1576,"Spaghetti, 75% durum wheat flour and 25% chickpea flour boiled 10 min (Rio Dulce SA, Guadalajara, Spain)",41,180,47,19,foodSearch.php?num=1663&ak=detail
1577,"Spaghetti, soy (Revival Soy®, Physicians Pharmaceuticals, Inc, USA)",47,180,37,17,foodSearch.php?num=1664&ak=detail
1578,"Spaghetti, White, boiled for 10 min (Rio Dulce SA, Guadalajara, Spain)",51,180,48,24,foodSearch.php?num=1665&ak=detail
1579,"Spaghetti, White, durum wheat, boiled 10 min in salt water (Barilla, Parma, Italy)",58,180,48,28,foodSearch.php?num=1666&ak=detail
1580,"Spaghetti, White, durum wheat flour, boiled 12 min (Starhushålls, Kungsörnen AB, Järna, Sweden)",47,180,48,23,foodSearch.php?num=1667&ak=detail
1581,"Spaghetti, White, durum wheat flour, 0.6% w/w monoglycerides, boiled 12 min ",53,180,48,25,foodSearch.php?num=1668&ak=detail
1582,"Spaghetti, White, boiled 15 min in salted water (Unico, Concord, ON, Canada)",44,180,48,21,foodSearch.php?num=1669&ak=detail
1583,"100% durum semolina spaghetti, type not specified, boiled 15 min (Unico, Canada)",41,180,48,19,foodSearch.php?num=1670&ak=detail
1584,"Spaghetti, white, durum wheat, boiled 20 min  ",58,180,44,26,foodSearch.php?num=353&ak=detail
1585,"Spaghetti, white, durum wheat, boiled 20 min  ",58,180,44,26,foodSearch.php?num=1671&ak=detail
1586,"Spaghetti, white, boiled",39,180,46,18,foodSearch.php?num=352&ak=detail
1587,"Spaghetti, white, boiled",39,180,46,18,foodSearch.php?num=1672&ak=detail
1588,"Spaghetti, white, boiled (Nishin Shokuhin, Japan)",46,180,48,22,foodSearch.php?num=354&ak=detail
1589,"Spaghetti, white, boiled (Nishin Shokuhin, Japan)",46,180,48,22,foodSearch.php?num=1673&ak=detail
1590,"Spaghetti, white, boiled (Unico, Canada)",48,180,48,23,foodSearch.php?num=355&ak=detail
1591,"Spaghetti, white, boiled (Unico, Canada)",48,180,48,23,foodSearch.php?num=1674&ak=detail
1592,"Spaghetti, white, boiled (Vetta, Greens Foods, Glendenning, Australia)",49,180,44,22,foodSearch.php?num=350&ak=detail
1593,"Spaghetti, white, boiled (Vetta, Greens Foods, Glendenning, Australia)",49,180,44,22,foodSearch.php?num=1675&ak=detail
1594,"Spaghetti, white, boiled",50,180,48,24,foodSearch.php?num=351&ak=detail
1595,"Spaghetti, white, boiled",50,180,48,24,foodSearch.php?num=1676&ak=detail
1596,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 11 min",59,180,48,28,foodSearch.php?num=356&ak=detail
1597,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 11 min",59,180,48,28,foodSearch.php?num=1677&ak=detail
1598,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 16.5 min",65,180,48,31,foodSearch.php?num=357&ak=detail
1599,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 16.5 min",65,180,48,31,foodSearch.php?num=1678&ak=detail
1600,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 22 min",46,180,48,22,foodSearch.php?num=358&ak=detail
1601,"Spaghetti, white, durum wheat semolina (Panzani, Marseilles, France), boiled in 0.7% salted water for 22 min",46,180,48,22,foodSearch.php?num=1679&ak=detail
1602,"Wholemeal spaghetti, boiled",42,180,40,17,foodSearch.php?num=377&ak=detail
1603,"Wholemeal spaghetti, boiled",42,180,40,17,foodSearch.php?num=1680&ak=detail
1604,"President's Choice® Blue Menu™ Whole Wheat spaghetti (Loblaw Brands Limited, Canada), boiled",45,180,40,18,foodSearch.php?num=379&ak=detail
1605,"President's Choice® Blue Menu™ Whole Wheat spaghetti (Loblaw Brands Limited, Canada), boiled",45,180,40,18,foodSearch.php?num=1681&ak=detail
1606,"Tagliatelle, egg, boiled (Sainsbury's, UK)",54,180,44,24,foodSearch.php?num=1682&ak=detail
1607,"Udon noodles, plain, reheated 5 min (Fantastic, Windsor Gardens, SA, Australia)",62,180,48,30,foodSearch.php?num=1683&ak=detail
1608,"Wheat noodle, dried",46,180,42,19,foodSearch.php?num=1684&ak=detail
1609,"Wheat noodle, fresh ",82,180,42,34,foodSearch.php?num=1685&ak=detail
1610,"Brownies, containing coconut flour",42,50,27,11,foodSearch.php?num=1686&ak=detail
1611,"Chick Pea chips (Freedom Foods, Australia)",44,50,18,8,foodSearch.php?num=1687&ak=detail
1612,"Combos Snacks Cheddar Cheese Crackers (M&M/Mars, USA)",54,50,32,17,foodSearch.php?num=1688&ak=detail
1613,"Combos Snacks Cheddar Cheese Pretzels (M&M/Mars, USA)",52,50,35,18,foodSearch.php?num=1689&ak=detail
1614,"Corn chips, plain, salted (Doritos™ original,  Smith's Snack Food Co., Australia) (1998)",42,50,25,11,foodSearch.php?num=1690&ak=detail
1615,"Corn chips, plain, salted (Doritos™ original,  Smith's Snack Food Co., Australia) (1985)",72,50,25,18,foodSearch.php?num=1691&ak=detail
1616,"Flaxseed Tortilla chips, Sea Salt, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",64,50,20,13,foodSearch.php?num=1692&ak=detail
1617,"Flaxseed Tortilla chips, Spicy, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",64,50,20,13,foodSearch.php?num=1693&ak=detail
1618,"Japanese Tamari Rice & Corn Crisps, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada) ",91,50,38,35,foodSearch.php?num=1694&ak=detail
1619,"Japanese Wasabi & Honey Rice & Corn Crisps, President's Choice® Blue Menu™  (Loblaw Brands Limited, Canada)",82,50,39,32,foodSearch.php?num=1695&ak=detail
1620,"Thai Curry Rice & Corn Crisps, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",84,50,39,33,foodSearch.php?num=1696&ak=detail
1621,"Fruit and nut mix (Finest, UK)",15,50,24,4,foodSearch.php?num=1697&ak=detail
1622,"Apple Fruit Bar, fat-free, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",90,40,30,27,foodSearch.php?num=1698&ak=detail
1623,Apricot and Almond bar ,34,30,15,5,foodSearch.php?num=1699&ak=detail
1624,"Apricot filled fruit bar (pureed dried apricot filling in wholemeal pastry) (Mother Earth, New Zealand)",50,50,34,17,foodSearch.php?num=1700&ak=detail
1625,"Apricot & Yoghurt Healtheries Simple Bar, wheat and gluten-free (Aussie Bodies Pty. Ltd., Australia)",40,50,25,10,foodSearch.php?num=1701&ak=detail
1626,"Berry & Yoghurt Healtheries Simple Bar, wheat and gluten free (Aussie Bodies Pty. Ltd., Australia)",51,50,26,13,foodSearch.php?num=1702&ak=detail
1627,"Berrylicious Trim Bar (Aussie Bodies Pty. Ltd., Australia)",46,50,17,8,foodSearch.php?num=1703&ak=detail
1628,"Blackberry Sour Buzz dried fruit leather, Sunripe  School Straps (Windsor Farm Foods, Australia)",35,30,20,7,foodSearch.php?num=1704&ak=detail
1629,"Fruit & Yogurt Apple Cinnamon Chewy Bars (Soy), President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",34,40,21,7,foodSearch.php?num=1705&ak=detail
1630,"Fig Fruit bar, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",70,40,30,21,foodSearch.php?num=1706&ak=detail
1631,"Fruit & Yogurt Cranberry Blueberry Bars (Soy), President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",33,40,21,7,foodSearch.php?num=1707&ak=detail
1632,"Heinz Kidz™ Fruit Fingers, banana (HJ Heinz, Australia)",61,30,20,12,foodSearch.php?num=1708&ak=detail
1633,"Raspberry Fruit bar, fat-free, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",74,40,31,23,foodSearch.php?num=1709&ak=detail
1634,"Real Fruit Bars, strawberry (Uncle Toby's, Australia)",90,30,26,23,foodSearch.php?num=1710&ak=detail
1635,"Roll-Ups®, processed fruit snack (Uncle Toby's, Australia)",99,30,25,24,foodSearch.php?num=1711&ak=detail
1636,"Strawberry fruit leather (Stretch Island Fruit Company™, Washington, USA)",29,30,24,7,foodSearch.php?num=1712&ak=detail
1637,"Strawberry & Wildberry dried fruit leather, Sunripeschool straps (Windsor Farm Foods, Australia)",40,30,20,8,foodSearch.php?num=1713&ak=detail
1638,"Gelati, sucrose-free frozen dessert, chocolate flavor  (Alba Foods, Newtown, Australia)",37,100,27,10,foodSearch.php?num=1714&ak=detail
1639,"Gelati, sucrose-free frozen dessert, vanilla flavor (Alba Foods, Newtown, Australia)",39,100,27,11,foodSearch.php?num=1715&ak=detail
1640,"Chocollo™, low-fat chocolate flavored ice cream eaten with a plain cone (Wendy's Supa Sundaes Pty Ltd, Australia)",44,100,18,8,foodSearch.php?num=1716&ak=detail
1641,"Chocollo™, low-fat chocolate flavored ice cream eaten with a waffle cone (Wendy's Supa Sundaes Pty Ltd, Australia)",55,110,28,15,foodSearch.php?num=1717&ak=detail
1642,"Jelly, made from commercial jelly crystals,  Raspberry Razzle flavor (Aeroplane Jelly Company, West Ryde, Australia)",53,120,19,10,foodSearch.php?num=1718&ak=detail
1643,"Jelly beans, assorted colors (Allen's, Nestlé, Australia)",80,30,28,22,foodSearch.php?num=1719&ak=detail
1644,"Jelly beans, assorted colors (Savings, Grocery Holdings, Tooronga, Australia)",76,30,28,21,foodSearch.php?num=1720&ak=detail
1645,"Kudos Milk Chocolate Granola bar with M&M's Milk Chocolate Mini Baking Bits (M&M/Mars, USA)",52,50,35,18,foodSearch.php?num=1721&ak=detail
1646,"Kudos Whole-Grain bars, chocolate chip (M&M/Mars, Hackettstown, USA)",62,50,32,20,foodSearch.php?num=1722&ak=detail
1647,"Kudos Milk Chocolate Granola bars, Peanut Butter flavor (M&M/Mars, USA)",45,50,30,14,foodSearch.php?num=1723&ak=detail
1648,"Licorice, soft (Coles Supermarkets, Australia)",78,30,21,16,foodSearch.php?num=1724&ak=detail
1649,"Life Savers®, peppermint candy (Nestlé, Australia)",70,30,30,21,foodSearch.php?num=1725&ak=detail
1650,"M & M's®, peanut (Mars Confectionery, Australia)",33,30,17,6,foodSearch.php?num=1726&ak=detail
1651,"Mars Bar® (Mars Confectionery, Australia) ",62,60,40,25,foodSearch.php?num=1727&ak=detail
1652,"Mars Bar® (M&M/Mars, USA) ",68,60,40,27,foodSearch.php?num=1728&ak=detail
1653,"Marshmallows (Candy Lane, Australia)",62,30,24,15,foodSearch.php?num=1729&ak=detail
1654,"Milky Way® bar (M&M/Mars, USA)",62,60,42,26,foodSearch.php?num=1730&ak=detail
1655,"Milky Way® Lite bar (M&M/Mars, USA)",45,45,34,15,foodSearch.php?num=1731&ak=detail
1656,"Muesli bar, crunchy, containing dried apricot (Uncle Toby's, Australia)",61,30,21,13,foodSearch.php?num=1732&ak=detail
1657,"Nougat, Jijona (La Fama, Spain)",32,30,12,4,foodSearch.php?num=1733&ak=detail
1658,"Nutella®, chocolate hazelnut spread (Ferrero Australia, Milson's Point, NSW, Australia) (1997) ",33,20,12,4,foodSearch.php?num=1734&ak=detail
1659,"Nutella®, chocolate hazelnut spread (Ferrero Australia, Australia) (2003)",30,20,12,4,foodSearch.php?num=1735&ak=detail
1660,"Nutella®, chocolate hazelnut spread (Ferrero Australia, Australia) (2007)",25,20,11,3,foodSearch.php?num=1736&ak=detail
1661,"Pirate's Booty, aged white cheddar extruded snack, made from corn and rice (Robert's American Gourmet, Sea Cliff, NY, USA)",70,20,12,8,foodSearch.php?num=1737&ak=detail
1662,"Microwave Popping Corn, butter flavor, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",72,20,12,9,foodSearch.php?num=1738&ak=detail
1663,"Microwave Popping Corn, natural flavor, President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",58,20,12,7,foodSearch.php?num=1739&ak=detail
1664,Popcorn ,55,20,10,6,foodSearch.php?num=1740&ak=detail
1665,"Popcorn, plain, cooked in microwave oven (Green's Foods, Glendenning, NSW, Australia)",55,20,11,6,foodSearch.php?num=1741&ak=detail
1666,"Poppin Microwave Popcorn, butter flavor (Green's Foods, Australia)",62,20,10,6,foodSearch.php?num=1742&ak=detail
1667,"Poppin Lite Microwave Popcorn, butter flavor,  50% reduced fat (Green's Foods, Australia)",67,20,11,7,foodSearch.php?num=1743&ak=detail
1668,"Popcorn, plain, cooked in microwave oven (Uncle Toby's, Australia)",89,20,11,10,foodSearch.php?num=1744&ak=detail
1669,"Pop Tarts™, double choc (Kellogg's, Australia)",70,50,35,24,foodSearch.php?num=1745&ak=detail
1670,"Potato crisps, plain, salted ",51,50,24,12,foodSearch.php?num=1746&ak=detail
1671,"Potato crisps, plain, salted (Arnott's, Australia)",57,50,18,10,foodSearch.php?num=1747&ak=detail
1672,Potato crisps ,60,50,20,12,foodSearch.php?num=1748&ak=detail
1673,"President's Choice® Blue Menu™ Original and Tomato Basil Vegetable Sticks (Loblaw Brands Limited, Canada)",66,50,38,25,foodSearch.php?num=1749&ak=detail
1674,"Pretzels, oven-baked, traditional wheat flavor (Parker's, Smith's Snack Food Co., Australia)",83,30,20,16,foodSearch.php?num=1750&ak=detail
1675,"Pretzels, oven-baked, traditional wheat flavor, 97% fat free (Parker's, Smith's Snack Food Co., Australia)",84,30,24,20,foodSearch.php?num=1751&ak=detail
1676,Puffed rice squares ,77,30,25,19,foodSearch.php?num=1752&ak=detail
1677,"Skittles® (Mars Confectionery, Australia)",70,50,45,32,foodSearch.php?num=1753&ak=detail
1678,"Chewy Chocolate Chip & Marshmallow Granola Bar,  President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",78,26,20,16,foodSearch.php?num=1754&ak=detail
1679,"Chewy Cranberry Apple Granola Bar,  President's Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",58,26,20,12,foodSearch.php?num=1755&ak=detail
1680,"Chocolate Healtheries Simple bar, wheat and gluten free (Aussie Bodies Pty. Ltd., Australia)",35,50,27,10,foodSearch.php?num=1756&ak=detail
1681,"Chocolate Raspberry Zing™ bar (Revival Soy®, Physicians Pharmaceuticals, Inc., USA)",47,50,3,2,foodSearch.php?num=1757&ak=detail
1682,"Cocoavia™ Chocolate Almond Snack bar (M&M/Mars, USA)",63,50,27,17,foodSearch.php?num=1758&ak=detail
1683,"Cocoavia™ Cripsy Chocolate Bar (M&M/Mars, USA)",33,50,25,8,foodSearch.php?num=1759&ak=detail
1684,"ExtendBar™ Apple Cinnamon Delight Bar  (ExtendBar, USA)",33,50,14,5,foodSearch.php?num=1760&ak=detail
1685,"ExtendBar™ Chocolate Delight Bar (ExtendBar, USA)",41,50,17,7,foodSearch.php?num=1761&ak=detail
1686,"ExtendBar™ Peanut Delight Bar (ExtendBar, USA)",32,50,17,5,foodSearch.php?num=1762&ak=detail
1687,"Granola bar, containing coconut flour ",46,50,20,9,foodSearch.php?num=1763&ak=detail
1688,"Munch Peanut Butter bar (M&M/Mars, USA)",27,50,19,5,foodSearch.php?num=1764&ak=detail
1689,"Oat bar, made from oat flour and bran starch ",59,50,24,14,foodSearch.php?num=1765&ak=detail
1690,"Peanut Butter Chocolate Pal™ bar (Revival Soy®,  Physicians Pharmaceuticals, Inc., USA)",52,50,26,13,foodSearch.php?num=1766&ak=detail
1691,"60% Whole Wheat Fig Fruit bar, President's  Choice® Blue Menu™ (Loblaw Brands Limited, Canada)",72,50,36,26,foodSearch.php?num=1767&ak=detail
1692,"Slimfast® Meal Options bar, rich chocolate brownie (SlimFast Foods Co, West Palm Beach, USA)",64,50,33,21,foodSearch.php?num=1768&ak=detail
1693,"Snack bar, Apple Cinnamon (Con Agra Inc., Omaha, NE, USA)",40,50,29,12,foodSearch.php?num=1769&ak=detail
1694,"Snack bar, Peanut Butter and Choc-Chip (Con Agra Inc., USA)",37,50,27,10,foodSearch.php?num=1770&ak=detail
1695,"Trim bar, Chocorama (Aussie Bodies Pty. Ltd., Australia)",31,50,14,4,foodSearch.php?num=1771&ak=detail
1696,"Trim Bar, Mocha flavor (Aussie Bodies Pty. Ltd., Australia)",25,50,12,3,foodSearch.php?num=1772&ak=detail
1697,"Snickers Bar® (Mars Confectionery, Australia)",41,60,36,15,foodSearch.php?num=1773&ak=detail
1698,"Snickers Bar® (M&M/Mars, USA)",43,60,35,15,foodSearch.php?num=1774&ak=detail
1699,"Snickers Bar® (M&M/Mars, USA)",68,60,34,23,foodSearch.php?num=1775&ak=detail
1700,"Apple Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",19,30,12,2,foodSearch.php?num=1776&ak=detail
1701,"Apricot Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",27,30,12,3,foodSearch.php?num=1777&ak=detail
1702,"Chocolate Orange Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",41,30,12,5,foodSearch.php?num=1778&ak=detail
1703,"Mango Coconut Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",28,30,11,3,foodSearch.php?num=1779&ak=detail
1704,"Plum + Fe Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",25,30,12,3,foodSearch.php?num=1780&ak=detail
1705,"Plum + Folic acid Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",27,30,12,3,foodSearch.php?num=1781&ak=detail
1706,"Raisin Almond Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",28,30,12,3,foodSearch.php?num=1782&ak=detail
1707,"Sanzashi Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",29,30,14,4,foodSearch.php?num=1783&ak=detail
1708,"Strawberry Soy Joy Bar (Otsuka Pharmaceutical Co Ltd, Tokyo, Japan)",33,30,13,4,foodSearch.php?num=1784&ak=detail
1709,"Sunshine™ soy protein chips, lightly salted (Revival Soy®,Physicians Pharmaceuticals, Inc., USA)",87,50,26,23,foodSearch.php?num=1785&ak=detail
1710,"Tropical fruit and nut mix (Finest, UK)",49,50,28,14,foodSearch.php?num=1786&ak=detail
1711,"Twisties™, cheese-flavored, extruded snack,  rice and corn (Smith's Snackfood Co., Australia)",74,50,29,22,foodSearch.php?num=1787&ak=detail
1712,"Twix® Cookie Bar, caramel (M&M/Mars, USA)",44,60,39,17,foodSearch.php?num=1788&ak=detail
1713,"Yummiees lollies (Allseps Pty. Ltd., Australia)",43,15,5,2,foodSearch.php?num=1789&ak=detail
1714,"Clif bar, Chocolate Brownie Energy bar (Clif Bar Inc., Berkeley, USA)",57,65,38,22,foodSearch.php?num=1790&ak=detail
1715,"Performance Chocolate Energy bar (Power Bar, USA)",53,65,42,22,foodSearch.php?num=1791&ak=detail
1716,"Power Bar®, chocolate (Powerfood Inc., Berkeley, USA)",58,65,42,24,foodSearch.php?num=1792&ak=detail
1717,"Power Bar®, chocolate (Powerfood Inc., Berkeley, USA)",53,65,42,22,foodSearch.php?num=1793&ak=detail
1718,"Ironman PR bar®, chocolate (PR Nutrition, San Diego, CA, USA)",39,65,26,10,foodSearch.php?num=1794&ak=detail
1719,"SmartZone Chocolate flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA)",11,50,18,2,foodSearch.php?num=1795&ak=detail
1720,"SmartZone Chocolate flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA) ",16,50,21,3,foodSearch.php?num=1796&ak=detail
1721,"SmartZone Crunchy Blueberry flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA) ",15,50,20,3,foodSearch.php?num=1797&ak=detail
1722,"SmartZone Crunchy Chocolate Brownie flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA) ",23,50,18,4,foodSearch.php?num=1798&ak=detail
1723,"SmartZone Crunchy Chocolate Caramel flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA)",16,50,21,3,foodSearch.php?num=1799&ak=detail
1724,"SmartZone Crunchy Chocolate Peanut Butter flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA)",14,50,18,3,foodSearch.php?num=1800&ak=detail
1725,"SmartZone Crunchy Key Lime flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA)",14,50,20,3,foodSearch.php?num=1801&ak=detail
1726,"SmartZone Peanut Butter flavor, nutrition Bar (Hershey's Food Corporation, Hershey, PA, USA) ",18,50,18,3,foodSearch.php?num=1802&ak=detail
1727,"Chewy Chocolate Peanut flavor, Snickers® Marathon Energy Bar (M&M/Mars, USA)",36,50,24,9,foodSearch.php?num=1803&ak=detail
1728,"Cookies & Crème flavor, Snickers® Marathon Energy Bar (M&M/Mars, USA)",50,50,27,14,foodSearch.php?num=1804&ak=detail
1729,"Multi Grain Crunch flavor, Snickers® Marathon Energy Bar (M&M/Mars, USA) ",50,50,28,14,foodSearch.php?num=1805&ak=detail
1730,"Peanut Butter flavor, Snickers® Marathon Energy Bar (M&M/Mars, USA) ",34,50,24,8,foodSearch.php?num=1806&ak=detail
1731,"Chocolate Fudge Brownie flavor, Snickers® Marathon Low Carb Lifestyle Energy Bar (M&M/Mars, USA)",20,50,10,2,foodSearch.php?num=1807&ak=detail
1732,"Peanut Butter flavor, Snickers® Marathon Low Carb Lifestyle Energy Bar (M&M/Mars, USA) ",21,50,10,2,foodSearch.php?num=1808&ak=detail
1733,"Dark Chocolate Crunch flavor, Snickers® Marathon Nutrition Bar  (M&M/Mars, USA)",49,25,10,5,foodSearch.php?num=1809&ak=detail
1734,"Honey & Roasted Almond flavor, Snickers® Marathon Nutrition Bar  (M&M/Mars, USA) ",41,25,11,4,foodSearch.php?num=1810&ak=detail
1735,"Caramel Nut Rush flavor, Snickers® Marathon Protein Performance Bar  (M&M/Mars, USA)",26,50,21,6,foodSearch.php?num=1811&ak=detail
1736,"Chocolate Nut Burst flavor, Snickers® Marathon Protein Performance Bar  (M&M/Mars, USA)",32,50,18,6,foodSearch.php?num=1812&ak=detail
1737,"SoLo GI Berry Bliss Nutrition bar (New Era Nutrition Inc, Alberta, Canada)",29,50,22,6,foodSearch.php?num=1813&ak=detail
1738,"SoLo GI Chocolate Charger Nutrition bar (New Era Nutrition Inc, Alberta, Canada)",28,50,22,6,foodSearch.php?num=1814&ak=detail
1739,"SoLo GI Lemon Lift Nutrition bar (New Era Nutrition Inc, Alberta, Canada) ",29,50,22,6,foodSearch.php?num=1815&ak=detail
1740,"SoLo GI Mint Mania Nutrition bar (New Era Nutrition Inc, Alberta, Canada)",23,50,22,5,foodSearch.php?num=1816&ak=detail
