,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
1300,"Porridge (rice and wheat flour), made with whole milk and water","Semper Foods AB, Sweden",54,250,30,16,Sweden,Infant Formulas and Weaning Foods,2005,,2h,10,Normal (adults),"Nilsson M, Elmståhl H, Björk I.  Glucose and insulin responses to porridge and gruel meals intended for infants.  Euro J Clin Nutr 2005; 59: 646-50."
1301,"Rice porridge, made with whole milk and water","Semper Foods AB, Sweden",51,250,30,15,Sweden,Infant Formulas and Weaning Foods,2005,,2h,10,Normal (adults),"Nilsson M, Elmståhl H, Björk I.  Glucose and insulin responses to porridge and gruel meals intended for infants.  Euro J Clin Nutr 2005; 59: 646-50."
1302,"Baked Beans, canned ",,40,150,15,6,Canada,Legumes and Nuts,1981,3,2h,7,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1303,"Baked Beans, Heinz Vegetarian baked haricot beans","HJ Heinz, Australia",40,150,15,6,Australia,Legumes and Nuts,1986,,3h,6,Normal,"Traianedes K, O'Dea K. Commercial canning increases the digestibility of beans in vitro and postprandial metabolic responses to them in vivo.  Am J Clin Nutr 1986; 44: 390-7."
1304,Baked Beans in Cheesy Tomato sauce,"HJ Heinz, Australia",44,150,24,10,Australia,Legumes and Nuts,2007,4,2h,9,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1305,Baked Beans in Barbecue sauce,"HJ Heinz, Australia",47,150,27,13,Australia,Legumes and Nuts,2007,4,2h,9,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1306,Baked Beans in Ham sauce,"HJ Heinz, Australia",53,150,25,13,Australia,Legumes and Nuts,2007,4,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1307,Baked Beans in Mild Curry sauce,"HJ Heinz, Australia",49,150,23,11,Australia,Legumes and Nuts,2007,5,2h,8,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1308,Baked Beans in Sweet Chilli sauce,"HJ Heinz, Australia",46,150,26,12,Australia,Legumes and Nuts,2007,3,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1309,Baked Beans in Tomato sauce,"HJ Heinz, Australia",40,150,20,8,Australia,Legumes and Nuts,2007,5,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
1310,"Baked Beans in Tomato sauce, canned, reheated in microwave for 1.5 min","HJ Heinz, Australia",57,150,23,13,Australia,Legumes and Nuts,,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1311,"Beans, dried, boiled, type not specified",,37,150,30,11,Italy,Legumes and Nuts,1990,,2h,7,Normal,"Bucalossi A, Conti A, Lombardo S, Marsilii A, Petruzzi E, Piazza E, Pulini M. Glycaemic and insulinaemic responses to different carbohydrates in Type II (NIDD) diabetic patients. Diab Nutr Metab 1990; 3: 143-51."
1312,"Black eyed beans/peas (Cowpeas), boiled",,33,150,30,10,Canada,Legumes and Nuts,1981,4,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1313,"Blackeyed peas (Vigna unguiculata), boiled",,52,150,30,16,Nigeria,Legumes and Nuts,1989,,3h,10,Normal,"Akanji AO, Charles-Davies MA, Ezenwaka C, Abbiyesuku FA, Osotimehin BO.  Dietary salt and the glycaemic response to meals of different fibre content.  Euro J Clin Nutr 1989; 43: 699-703."
1314,"Blackeyed peas (Vigna unguiculata), boiled, consumed with 4.24 g salt",,38,150,30,11,Nigeria,Legumes and Nuts,1989,,3h,10,Normal,"Akanji AO, Charles-Davies MA, Ezenwaka C, Abbiyesuku FA, Osotimehin BO.  Dietary salt and the glycaemic response to meals of different fibre content.  Euro J Clin Nutr 1989; 43: 699-703."
1315,"Butter beans, canned, drained, Edgell's™ brand","Simplot Australia, Australia",36,150,23,8,Australia,Legumes and Nuts,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1316,"Butter beans, dried, soaked overnight,  boiled 50 min ",,26,150,20,5,UK,Legumes and Nuts,2005,7,2h,8,Normal,"Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
1317,"Butter beans, dried, soaked overnight, cooked in salted water",,28,150,20,6,South Africa,Legumes and Nuts,1984,7,2h,8,Normal,"Walker ARP, Walker BF. Glycaemic index of South African foods determined in rural blacks - a population at low risk of diabetes.  Hum Nutr Clin Nutr 1984; 38C: 215-22."
1318,Butter beans ,,36,150,20,7,Canada,Legumes and Nuts,1981,4,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1319,"Cannellini beans, canned, drained, Edgell's™ brand","Simplot Australia, Australia",31,150,21,6,Australia,Legumes and Nuts,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1320,"Chickpeas (Cicer arietinum Linn), dried, soaked, boiled 35 min",,10,150,30,3,Philippines,Legumes and Nuts,1995,,1h,11,Normal,"Panlasigui LN, Panlilio LM, Madrid JC. Glycaemic response in normal subjects to five different legumes commonly used in the Philippines. Int J Food Sci and Nutr 1995; 46: 155-60."
1321,"Chickpeas, boiled",,36,150,30,11,Canada,Legumes and Nuts,1981,5,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1322,"Chickpeas, canned, drained, Edgell's™ brand","Simplot Australia, Australia",38,150,23,9,Australia,Legumes and Nuts,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1323,"Chickpea Hommus dip, Chris' Traditional brand","Capitol Chilled Foods Pty Ltd, Australia",22,30,5,1,Australia,Legumes and Nuts,,5,2h,11,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1324,"Four bean mix, canned, drained, Edgell's™ brand","Simplot Australia, Australia",37,150,24,9,Australia,Legumes and Nuts,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1325,"Haricot/Navy beans, boiled ",,31,150,30,9,Canada,Legumes and Nuts,1981,6,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1326,Haricot/Navy beans,"King Grains, Canada",39,150,30,12,Canada,Legumes and Nuts,1985,,1h,6,Normal,"Wolever TMS, Nuttall FQ, Lee R, Wong GS, Josse RG, Csima A, Jenkins DJA.  Prediction of the relative blood glucose response of mixed meals using the white bead glycemic index. Diab Care 1985; 8(5): 418-28."
1327,"Haricot beans, home-cooked, soaked overnight, boiled 1h in water, baked in tomato sauce 2h","HJ Heinz, Australia",23,150,30,7,Australia,Legumes and Nuts,1986,,3h,6,Normal,"Traianedes K, O'Dea K. Commercial canning increases the digestibility of beans in vitro and postprandial metabolic responses to them in vivo.  Am J Clin Nutr 1986; 44: 390-7."
1328,"Kidney/white bean (Phaseolus vulgaris Linn), soaked, boiled 17 min",,14,150,25,3,Philippines,Legumes and Nuts,1995,,1h,11,Normal,"Panlasigui LN, Panlilio LM, Madrid JC. Glycaemic response in normal subjects to five different legumes commonly used in the Philippines. Int J Food Sci and Nutr 1995; 46: 155-60."
1329,Kidney beans (Phaseolus vulgaris) ,,19,150,25,5,India,Legumes and Nuts,1981,,2h,6,Normal,"Dilawari JB, Kamath PS, Batta RP, Mukewar S, Raghavan S. Reduction of postprandial plasma glucose by Bengal gram dhal (Cicer arietinum) and Rajmah (Phaseolus vulgaris). Am J Clin Nutr 1981; 34: 2450-3."
1330,"Kidney beans (Phaseolus vulgaris L.), red,  soaked 20 min, boiled 70 min ",,25,150,25,6,Sweden,Legumes and Nuts,0,,1.5h,10,Normal,"Granfeldt Y, Björk I, Drews A, Tovar J.  An in vitro procedure based on chewing to predict metabolic response to starch in cereal and legume products.  Euro J Clin Nutr 1992; 46: 649-60."
1331,Kidney beans ,,29,150,25,7,Canada,Legumes and Nuts,0,8,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1332,"Kidney beans (Phaseolus vulgaris L.), autoclaved",,34,150,25,9,,Legumes and Nuts,0,,1.5h,10,Normal,"Granfeldt Y, Björk I, Drews A, Tovar J.  An in vitro procedure based on chewing to predict metabolic response to starch in cereal and legume products.  Euro J Clin Nutr 1992; 46: 649-60."
1333,"Kidney beans, dried, soaked 12 h, stored moist 24 h, steamed 1 h",,70,150,25,17,India,Legumes and Nuts,0,11,3h,12-15,Normal,"Kurup PG, Krishnamurthy S. Glycemic Index of Selected Foodstuffs commonly used in South India. Int J Vit Nutr Res 1992; 62: 266-8."
1334,"Black bean (Phaseolus vulgaris Linn), soaked overnight, cooked 45 min ",,20,150,25,5,Philippines,Legumes and Nuts,0,,1h,11,Normal,"Panlasigui LN, Panlilio LM, Madrid JC. Glycaemic response in normal subjects to five different legumes commonly used in the Philippines. Int J Food Sci and Nutr 1995; 46: 155-60."
1335,"Dark Red Kidney beans, canned in brine, drained, Edgell's™ brand","Simplot Australia, Australia",43,150,23,10,Australia,Legumes and Nuts,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1336,"Red Kidney beans, canned, drained, Edgell's™ brand","Simplot Australia, Australia",36,150,25,9,Australia,Legumes and Nuts,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1337,"Red Kidney beans, dried, soaked overnight, boiled 60 min",,51,150,24,12,UK,Legumes and Nuts,0,5,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
1338,"Lentils, type not specified",,29,150,18,5,Canada,Legumes and Nuts,0,3,2h,7,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1339,"Lentils, brown, canned, drained, Edgell's™ brand","Simplot Australia, Australia",42,150,21,9,Australia,Legumes and Nuts,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1340,"Lentils, green, dried, boiled",,37,150,14,5,Australia,Legumes and Nuts,0,3,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
1341,"Lentils, red, split, dried, boiled 25 min ",,21,150,18,4,UK,Legumes and Nuts,0,7,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
1342,"Marrowfat peas, dried, boiled ",,47,150,19,9,Canada,Legumes and Nuts,0,3,2h,6,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1343,"Mung bean (Phaseolus areus Roxb), soaked,  boiled 20 min ",,31,150,17,5,Philippines,Legumes and Nuts,0,,1h,11,Normal,"Panlasigui LN, Panlilio LM, Madrid JC. Glycaemic response in normal subjects to five different legumes commonly used in the Philippines. Int J Food Sci and Nutr 1995; 46: 155-60."
1344,"Mung bean, fried ",,53,150,17,9,Australia,Legumes and Nuts,0,8,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1345,"Mung bean, germinated ",,25,150,17,4,Australia,Legumes and Nuts,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1346,"Mung bean, pressure cooked ",,42,150,17,7,Australia,Legumes and Nuts,0,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1347,"Pigeon Pea (Cajanus cajan Linn. Huth.), soaked, boiled 45 min",,22,150,20,4,Philippines,Legumes and Nuts,0,,1h,11,Normal,"Panlasigui LN, Panlilio LM, Madrid JC. Glycaemic response in normal subjects to five different legumes commonly used in the Philippines. Int J Food Sci and Nutr 1995; 46: 155-60."
1348,"Pinto beans, steamed ",,33,150,23,8,USA,Legumes and Nuts,0,,3h,8,Normal,"Potter JG, Coffman KP, Reid RL, Krall JM, Albrink MJ. Effect of test meals of varying dietary fiber content on plasma insulin and glucose response. Am J Clin Nutr 1981; 34: 328-34."
1349,"Refried Pinto beans, Casa Fiesta™ brand","Capital Foods Pty Ltd, Australia",38,150,26,10,Australia,Legumes and Nuts,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1350,"Soya beans, dried, boiled ",,15,150,6,1,Canada,Legumes and Nuts,0,5,2h,7,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1351,"Soya beans, dried, boiled ",,20,150,6,1,Australia,Legumes and Nuts,0,3,2h,7,Normal,"Fitz-Henry A. In vitro and in vivo rates of carbohydrates digestion in Aboriginal bushfoods and contemporary Western Foods.  BSc thesis (Honours).  Human Nutrition Unit, University of Sydney, Australia, 1982."
1352,"Soya beans, canned ",,14,150,6,1,Canada,Legumes and Nuts,0,2,2h,7,Normal,"Jenkins DJA, Wolever TMS, Taylor RH, Barker H, Fielden H, Baldwin JM, Bowling AC, Newman HC, Jenkins AL, Goff DV. Glycemic index of foods: a physiological basis for carbohydrate exchange. Am J Clin Nutr 1981; 34: 362-6."
1353,"Soya beans, canned in brine, drained, Edgell's™ brand","Simplot Australia, Australia",14,150,5,1,Australia,Legumes and Nuts,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1354,"Split peas, yellow, dried, soaked overnight, boiled 55 min ",,25,150,13,3,UK,Legumes and Nuts,0,6,2h,8,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
1355,"Chocolate, lactose-free, weight management drink ",,29,250,19,6,UK,Meal Replacement and Weight Management Products,0,10,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
1356,Chocolate weight management bar,"Shaklee Corporation, USA",29,31,12,4,USA,Meal Replacement and Weight Management Products,,4,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1357,Chocolate weight management drink ,,23,250,18,4,UK,Meal Replacement and Weight Management Products,0,5,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
1358,Chocolate weight management drink ,,39,250,18,7,UK,Meal Replacement and Weight Management Products,0,8,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
1359,"Hazelnut & Apricot bar, meal replacement","Dietworks, Australia",42,50,22,9,Australia,Meal Replacement and Weight Management Products,,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1360,"InZone™ nutritious beverage powder, prepared with water","Indevex AB, Sweden",28,250,6,2,Sweden,Meal Replacement and Weight Management Products,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1361,"Juice Plus+® Complete meal replacement powder, Dutch chocolate flavor ",,35,250,19,7,Australia,Meal Replacement and Weight Management Products,0,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1362,"Juice Plus+® Complete meal replacement powder, French vanilla flavor ",,32,250,19,6,Australia,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1363,"French style chicken with rice, reheated, Lean Cuisine™ frozen convenience meals","Nestlé, Australia",36,280,48,17,Australia,Mixed Meals and Convenience Foods,,6,2h,8,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1364,"Honey Soy Beef with Wholemeal Noodles, reheated, Lean Cuisine™ frozen convenience meals","Nestlé, Australia",53,280,36,19,Australia,Mixed Meals and Convenience Foods,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1365,"Burmese Vegetable Curry & rice, reheated, Lean Cuisine™ frozen convenience meals","Nestlé, Australia",49,280,40,20,Australia,Mixed Meals and Convenience Foods,,6,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1366,"Chicken Pomodoro, reheated, Lean Cuisine™ frozen convenience meals","Nestlé, Australia",46,280,36,17,Australia,Mixed Meals and Convenience Foods,,8,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1367,"L.E.A.N Fibergy™ bar, Harvest Oat","Usana Inc., USA",45,50,29,13,USA,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1368,"Nutrimeal™, drink powder, Dutch Chocolate, L.E.A.N™ products Harvest Oat","Usana Inc., USA",26,250,13,3,USA,Meal Replacement and Weight Management Products,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1369,"L.E.A.N (Life long) Nutribar™, Peanut Crunch, Harvest Oat","Usana Inc., USA",30,40,19,6,USA,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1370,"L.E.A.N (Life long) Nutribar™, Chocolate Crunch, Harvest Oat","Usana Inc., USA",32,40,19,6,USA,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1371,Lemon weight management bar,"Shaklee Corporation, USA",23,31,12,3,USA,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1372,Lemon weight management bar L.E.A.N™ products Harvest Oat,"Usana Inc., USA",32,50,21,7,UK,Meal Replacement and Weight Management Products,2007,8,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
1373,Malt toffee weight management bar L.E.A.N™ products Harvest Oat,"Usana Inc., USA",43,50,24,10,UK,Meal Replacement and Weight Management Products,2007,7,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
1374,Peanut Butter weight management bar,"Shaklee Corporation, USA",22,31,12,3,USA,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1375,"Provide™ nutritious beverage powder, prepared with water","Indevex AB, Sweden",28,250,6,2,Sweden,Meal Replacement and Weight Management Products,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1376,"ReduceXS™ Chocolate Deluxe formulated meal replacement powder, prepared with water",,10,250,8,1,Australia,Meal Replacement and Weight Management Products,0,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1377,"SICCON D2™ nutritious beverage powder, prepared with water","Indevex AB, Sweden",28,250,6,2,Sweden,Meal Replacement and Weight Management Products,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1378,SlimFast® chocolate caramel meal replacement bar,"SlimFast Foods Ltd, UK",54,50,33,18,UK,Meal Replacement and Weight Management Products,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1379,SlimFast® chocolate meal replacement bar,"SlimFast Foods Ltd, UK",27,50,23,6,UK,Meal Replacement and Weight Management Products,,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1380,SlimFast® Chocolate Muesli snack bar,"SlimFast Foods Ltd, UK",49,50,32,16,UK,Meal Replacement and Weight Management Products,,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1381,"SlimFast® Double Chocolate meal replacement powder, prepared with skim milk","SlimFast Foods Ltd, UK",36,50,46,17,UK,Meal Replacement and Weight Management Products,,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1382,SlimFast® French Vanilla ready-to-drink shake,"SlimFast Foods Ltd, USA",37,250,27,10,USA,Meal Replacement and Weight Management Products,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1383,"SlimFast® meal replacement powder, prepared with skim milk","Unilever Australasia, Australia",35,250,34,12,Australia,Meal Replacement and Weight Management Products,,6,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1384,SlimFast® Strawberry Supreme ready-to-drink shake,"SlimFast Foods Ltd, UK",33,250,30,10,UK,Meal Replacement and Weight Management Products,,3,2h,9,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1385,"SlimFast® meal, Garden vegetable soup with peppers and croutons","SlimFast Foods Ltd, UK",20,250,27,5,UK,Meal Replacement and Weight Management Products,,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1386,"SlimFast® meal, Pasta Florentina meal","SlimFast Foods Ltd, UK",53,250,34,12,UK,Meal Replacement and Weight Management Products,,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1387,"Tony Ferguson's Meal Replacement Shake, all flavors, prepared with water",,22,250,28,6,Australia,Meal Replacement and Weight Management Products,2006,2,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1388,"Designer chocolate, sugar-free, Worldwide Sport Nutrition reduced-carbohydrate products (2000 formulations)","Worldwide Sport Nutritional Supplements Inc., USA",14,35,22,3,USA,Meal Replacement and Weight Management Products,2000,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1389,"Burn-it™ bars, Chocolate deluxe",,29,50,8,2,USA,Meal Replacement and Weight Management Products,0,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1390,"Burn-it™ bars, Peanut butter",,23,50,6,1,USA,Meal Replacement and Weight Management Products,0,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1391,"Chewy choc-chip, Pure-protein™ bars",,30,80,14,4,USA,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1392,"Chocolate deluxe, Pure-protein™ bars",,38,80,13,5,USA,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1393,"Peanut butter, Pure-protein™ bars",,22,80,9,2,USA,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1394,"Strawberry shortcake, Pure-protein™ bars",,43,80,13,6,USA,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1395,"White chocolate mousse, Pure-protein™ bars",,40,80,15,6,USA,Meal Replacement and Weight Management Products,0,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
1396,"Pure-protein™ cookies, Choc-chip cookie dough",,25,55,11,3,USA,Meal Replacement and Weight Management Products,0,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007."
